  0.0    0.0    23.91      5.0
  0.0119999
          3     700   3      0.0 0.0 0.0
  fid   sid   dummyXflux   z        mag
  0     0     0            0.46525   23.19981108562208050
  0     0     0            0.46525   25.58384707392892921
  0     0     0            0.46525   26.40123831167655055
  0     0     0            0.46525   23.54383337797183984
  0     0     0            0.46525   24.92897593193200123
  0     0     0            0.46525   23.51537929716847941
  0     0     0            0.46525   21.49749659591830664
  0     0     0            0.46525   23.00117225744897809
  0     0     0            0.46525   23.64641966523790018
  0     0     0            0.46525   23.16845758793374088
  0     0     0            0.46525   22.15035696361844941
  0     0     0            0.46525   24.55851434294059388
  0     0     0            0.46525   25.28774638877236924
  0     0     0            0.46525   22.31992902401128021
  0     0     0            0.46525   21.30453809294003520
  0     0     0            0.46525   22.64070495794241822
  0     0     0            0.46525   24.13975547764491836
  0     0     0            0.46525   23.10289956403872935
  0     0     0            0.46525   24.92863907213472530
  0     0     0            0.46525   22.32421874847914722
  0     0     0            0.46525   22.96189884979547813
  0     0     0            0.46525   22.47057963731252528
  0     0     0            0.46525   24.69688795441321716
  0     0     0            0.46525   23.91369319995996889
  0     0     0            0.46525   22.17839124026495057
  0     0     0            0.46525   22.30729670553098032
  0     0     0            0.46525   23.44880306405172732
  0     0     0            0.46525   23.23539679846467720
  0     0     0            0.46525   25.23031029124891234
  0     0     0            0.46525   23.02080175893159009
  0     0     0            0.46525   21.76304469749345571
  0     0     0            0.46525   26.82868429367844954
  0     0     0            0.46525   21.87972243508597359
  0     0     0            0.46525   22.29909895405870657
  0     0     0            0.46525   23.24028587762776965
  0     0     0            0.46525   24.72308549456980131
  0     0     0            0.46525   23.42674975078829647
  0     0     0            0.46525   25.25042983650111950
  0     0     0            0.46525   22.59350218686713063
  0     0     0            0.46525   25.47788384579215304
  0     0     0            0.46525   25.86541058669210003
  0     0     0            0.46525   22.52642882981192329
  0     0     0            0.46525   21.61320706660843172
  0     0     0            0.46525   22.19613689020752290
  0     0     0            0.46525   25.62261605324329850
  0     0     0            0.46525   23.62123805931317122
  0     0     0            0.46525   23.79772917756831774
  0     0     0            0.46525   25.46482901790557563
  0     0     0            0.46525   24.30680688359829844
  0     0     0            0.46525   25.45002518539671854
  0     0     0            0.46525   24.52029985155336789
  0     0     0            0.46525   25.39008055025491117
  0     0     0            0.46525   26.14234659285323659
  0     0     0            0.46525   27.74005730013227833
  0     0     0            0.46525   24.28344580688293775
  0     0     0            0.46525   26.22335895189228694
  0     0     0            0.46525   26.44854550775405500
  0     0     0            0.46525   21.57036573802869839
  0     0     0            0.46525   26.01213721176679172
  0     0     0            0.46525   24.50078409945745861
  0     0     0            0.46525   21.52487638233551337
  0     0     0            0.46525   22.43445436161570683
  0     0     0            0.46525   22.64315976289600130
  0     0     0            0.46525   24.60300673398160143
  0     0     0            0.46525   22.65501472146800310
  0     0     0            0.46525   24.29698817440969805
  0     0     0            0.46525   24.28694387055299586
  0     0     0            0.46525   25.79017385765807546
